text,label
SSL contexts shouldnt be reused across connections see So its probably more appropriate to pass in factories directly,1
To create a Finagle Thrift service you must implement the ServiceIface Interface that a custom Thrift compiler generates for your service Scrooge wraps your service method return values with asynchronous,1
I think its important to specify that the developer must implement ServiceIface and not Iface to make the example clearerisnotinvain that is a good idea,1
btw if you want to retain the debugging information here its often useful you should probably either 1 use logging at a debug level or 2 pass a debug flag into the codec constructor,1
How about to create a Finagle Thrift service you must use the custom Thrift compiler which can be found here regular thrift Iface interface a ServiceIface interface that wraps all return values in a Future which is required by Finagle,1
If you want to make it overridable not declare it as static as override static methods many times give inconsistent behavior,1
makes sense here after the dependency is moved to class,1
Without a doubt ideally there are no indirect dependencies anywhere but that would take a lot of knowledge about all files dependency fulfillment and usage,1
Id rather avoid adding more dependencies in CAddrDB for something that isnt really used elsewhere,1
This duplication is quite ugly Mikes refactor that moves these chaindependent constants to a separate class is nicer but you may want to check that it doesnt introduce new dependencies,1
Well the remote routers need to handle the nodes setting which the local ones do not Hence there must be a translation between local and remote unless the RemoteDeployer would not use local parsing at all which is obviously even worse If that translation is part of the router interface so that the RemoteDeployer could do it generically then local routers need to know about their remote counterparts which is not possible due to cyclic dependencies between the packages,1
We cant have external dependencies in akkaactor Therefore I have embedded the code You can continue work in your repository and we will copy it The long term goal is to push it down to scala library,1
I changed the MultiNodeSpec to not depend on AkkaSpec or on a specific test framework and removed all dependencies to ScalaTest from the published artifacts,1
The orgjboss dependencies shouldnt be present in the general interface,1
Yes i struggled a bit with the dependencies here Do u think it would be better to send the publisher ref to the parent from core and start the metricstriggered on that,1
Ill take a look at the ActorComponent and the Message dependencies when I have time,1
True good catch Did think about it when I first saw the code to mention but thought FSM would mean more dependencies but now I see it is in akka actor,1
This shouldnt be added into akka remote it should be a sub module to akka remote so people dont need the extra dependencies if they dont use rcl,1
This implementation seems like there should already exist such a utility function amongst the dependencies try to find one and use that,1
Im not a huge fan of adding dependencies even for tests can we avoid these,1
Yes A FIXME should probably be added to the dependencies in AkkaBuild as well,1
I think JavaLoggingEventHandler is a good thing An advantage over slf4j with jul is that it doesnt require any dependencies but I guess it solved some problem also,1
Jut as a FYI comeaio will be dropped Ive added a ticket to move the things from orgjbossnettyakkautil to akkautil comtypesafeconfig will become an explicit dependency as well instead of an embedded one This will hopefully clean up the exportPackage,1
Also there is an issue with Message dependency on CamelContext can you suggest any elegant way of getting rid of this dependency,1
what is the advantage of this Base64 which adds another dependency over javanetURLEncoderULRDecoder,1
You should also mention that you need to add akka remote as a dependency,1
This is actually the simplest I could do to preserve the existing semantics An even better approach and one I want to do once someone can answer my questions on repercussions is to not dynamically depend on projects but to depend on the dependencyClasspath setting Using this we should be able to get all the dependent jars classpath directories and we can filter this to grab the relevant reference conf files Then were no longer used advanced sbt features and we might see more stability,1
why is the kernel dependency needed,1
I dont agree I think extensions should be registered on demand when first used Otherwise we have the dependency issue that ActorSystem need to know about all extensions or users need to configure all extensions they use,1
Using ref single updatenewValue could be more efficient I know eliminating a read dependency can help in a DB transaction but not sure about in our STM implementation,1
The dependency on specs2 has been removed in order to lessen the pain of living close to scala master it would be great if you could check the plain text documentation and make that as good as possible instead thanks,1
For the code changes: the current akka osgi module has the import for the org apache aries marked as optional so theres no runtime dependency preventing this from working in a plain OSGi environment but I can obviously separate that into a new module as well if you prefer And I can obviously make the changes to the public methods as well,1
Still getting rid of the hashmap in the selector can and IMHO should still be done This has no dependency on this PR however I will open a separate P for that change,1
Looks great Patrik Since this is general purpose does it belong in util Or does that introduce an unwanted dependency on dispatch,1
named parameter would make it more readable isClient false,1
while I like short variable names here they are part of the API by being parameter names I recommend using slightly more readable ones cid particularly but I always confused by snr too I always think of signal-to-noise-ratio,1
So it appears that this singleton scheduler serves some purpose,1
I still think it would make sense to take and stash handOverData during the entire lifetime of the singleton,1
that would not be a very well behaving singleton should be documented,1
Should it be ClusterSingletonManager and the child is the actual singleton,1
that would not be a very well behaving singleton should be documented,1
a factory which can be instantiated without constructor arguments,1
